School Year,District Name,Category,4-Year Graduation Rate,Still Enrolled,Non-Completers (Certificate Of Attendance),Other,Column 8
2010,Berlin School District,Non-ELL,90.38,4.18,0,5.439330544,
2010,Berlin School District,Eligible For Lunch,71.43,14.2,0,14.28571429,
2010,Berlin School District,Not Eligible For Lunch,91.67,3.51,0,4.824561404,
2010,Berlin School District,Special Education,64.52,22.5,0,12.90322581,
2010,Berlin School District,Non-Special Education,94.31,1.42,0,4.265402844,
2010,Bethel School District,All Students,91.76,3.37,0,4.868913858,
2010,Bethel School District,Hispanic,84,4,0,12,
2010,Bethel School District,Non-Hispanic,92.56,3.31,0,4.132231405,
2010,Bethel School District,Indian,NA,NA,NA,NA,
2010,Bethel School District,Asian,100,0,0,0,
2010,Bethel School District,Black,85.71,14.2,0,0,
2010,Bethel School District,White,92.13,3.24,0,4.62962963,
2010,Bethel School District,Male,89.86,4.35,0,5.79,
2010,Bethel School District,Female,93.8,2.33,0,3.87,
2010,Bethel School District,ELL,NA,NA,NA,NA,
2010,Bethel School District,Non-ELL,92.4,2.66,0,4.942965779,
2010,Bethel School District,Eligible For Lunch,88.46,7.69,0,3.846153846,
2010,Bethel School District,Not Eligible For Lunch,92.12,2.9,0,4.979253112,
2010,Bethel School District,Special Education,63.64,18.1,0,18.18181818,
2010,Bethel School District,Non-Special Education,94.29,2.04,0,3.673469388,
2010,Bloomfield School District,All Students,76.67,10,0.56,12.77,
2010,Bloomfield School District,Hispanic,84.62,7.69,0,7.692307692,
2010,Bloomfield School District,Non-Hispanic,76.05,10.1,0.6,13.17365269,
2010,Bloomfield School District,Asian,NA,NA,NA,NA,
2010,Bloomfield School District,Black,76.47,11.1,0.65,11.76470588,
2010,Bloomfield School District,White,66.67,0,0,33.33333333,
2010,Bloomfield School District,Male,71.91,14.6,1.12,12.35955056,
2010,Bloomfield School District,Female,81.32,5.49,0,13.18681319,
2010,Bloomfield School District,Non-ELL,76.67,10,0.56,12.77,
2010,Bloomfield School District,Eligible For Lunch,73.68,11.8,0,14.47368421,
2010,Bloomfield School District,Not Eligible For Lunch,78.85,8.65,0.96,11.53846154,
2010,Bloomfield School District,Special Education,60,20,0,20,
2010,Bloomfield School District,Non-Special Education,78.75,8.75,0.63,11.87,
2010,Bolton School District,All Students,95.52,0,0,4.47761194,
2010,Bolton School District,Non-Hispanic,95.52,0,0,4.47761194,
2010,Bolton School District,Indian,NA,NA,NA,NA,
2010,Bolton School District,Asian,NA,NA,NA,NA,
2010,Bolton School District,Black,NA,NA,NA,NA,
2010,Bolton School District,White,95.24,0,0,4.761904762,
2010,Bolton School District,Male,94.59,0,0,5.405405405,
2010,Bolton School District,Female,96.67,0,0,3.333333333,
2010,Bolton School District,Non-ELL,95.52,0,0,4.47761194,
2010,Bolton School District,Eligible For Lunch,NA,NA,NA,NA,
2010,Bolton School District,Not Eligible For Lunch,96.83,0,0,3.174603175,
2010,Bolton School District,Special Education,NA,NA,NA,NA,
2010,Bolton School District,Non-Special Education,95.45,0,0,4.545454545,
2010,Branford School District,All Students,89.91,4.1,0,5.993690852,
2010,Branford School District,Hispanic,66.67,11.1,0,22.22222222,
2010,Branford School District,Non-Hispanic,90.58,3.9,0,5.519480519,
2010,Branford School District,Indian,NA,NA,NA,NA,
2010,Branford School District,Asian,78.95,5.26,0,15.78947368,
2010,Branford School District,Black,80,0,0,20,
2010,Branford School District,White,91.73,3.96,0,4.31,
2010,Branford School District,Male,90.67,4.67,0,4.66,
2010,Branford School District,Female,89.22,3.59,0,7.185628743,
2010,Branford School District,ELL,NA,NA,NA,NA,
2010,Branford School District,Non-ELL,90.13,4.14,0,5.732484076,
2010,Branford School District,Eligible For Lunch,72.97,8.11,0,18.91891892,
2010,Branford School District,Not Eligible For Lunch,92.14,3.57,0,4.285714286,
2010,Branford School District,Special Education,75.76,21.2,0,3.03030303,
2010,Branford School District,Non-Special Education,91.55,2.11,0,6.338028169,
2010,Bridgeport School District,All Students,55.46,13,0,31.48019458,
2010,Bridgeport School District,Hispanic,51.03,13.7,0,35.1822504,
2010,Bridgeport School District,Non-Hispanic,58.91,12.5,0,28.58910891,
2010,Bridgeport School District,Indian,NA,NA,NA,NA,
2010,Bridgeport School District,Asian,68.89,8.89,0,22.22222222,
2010,Bridgeport School District,Black,59.08,12.4,0,28.46153846,
2010,Bridgeport School District,White,55.05,13.7,0,31.19266055,
2010,Bridgeport School District,Male,48.24,17.5,0,34.17721519,
2010,Bridgeport School District,Female,62.5,8.65,0,28.84615385,
2010,Bridgeport School District,ELL,48.26,11.4,0,40.29850746,
2010,Bridgeport School District,Non-ELL,56.62,13.3,0,30.04846527,
2010,Bridgeport School District,Eligible For Lunch,56.24,12.8,0,30.90225564,
2010,Bridgeport School District,Not Eligible For Lunch,45.87,15.6,0,38.53211009,
2010,Bridgeport School District,Special Education,36.36,27.8,0,35.79545455,
2010,Bridgeport School District,Non-Special Education,58.12,11,0,30.87885986,
2010,Bristol School District,All Students,80.75,12.2,0,7.042253521,
2010,Bristol School District,Hispanic,56,25.3,0,18.66666667,
2010,Bristol School District,Non-Hispanic,84.04,10.4,0,5.496453901,
2010,Bristol School District,Indian,NA,NA,NA,NA,
2010,Bristol School District,Asian,92.31,7.69,0,0,
2010,Bristol School District,Black,63.46,23,0,13.46153846,
2010,Bristol School District,White,85.94,9.24,0,4.819277108,
2010,Bristol School District,Male,75.96,16.6,0,7.371794872,
2010,Bristol School District,Female,85.32,7.95,0,6.727828746,
2010,Bristol School District,ELL,50,18.7,0,31.25,
2010,Bristol School District,Non-ELL,81.54,12,0,6.420545746,
2010,Bristol School District,Eligible For Lunch,61.04,21.4,0,17.53246753,
2010,Bristol School District,Not Eligible For Lunch,87.01,9.28,0,3.711340206,
2010,Bristol School District,Special Education,52.63,35.5,0,11.84210526,
2010,Bristol School District,Non-Special Education,84.55,9.06,0,6.394316163,
2010,Brookfield School District,All Students,90.53,3.51,0.7,5.263157895,
2010,Brookfield School District,Hispanic,NA,NA,NA,NA,
2010,Brookfield School District,Non-Hispanic,90.78,3.55,0.71,4.964539007,
2010,Brookfield School District,Asian,100,0,0,0,
2010,Brookfield School District,Black,NA,NA,NA,NA,
2010,Brookfield School District,White,90.77,3.69,0.37,5.166051661,
2010,Brookfield School District,Male,90.07,3.97,0.66,5.298013245,
2010,Brookfield School District,Female,91.04,2.99,0.75,5.223880597,
2010,Brookfield School District,ELL,NA,NA,NA,NA,
2010,Brookfield School District,Non-ELL,90.78,3.55,0.71,4.964539007,
2010,Brookfield School District,Eligible For Lunch,100,0,0,0,
2010,Brookfield School District,Not Eligible For Lunch,90.36,3.57,0.71,5.357142857,
2010,Brookfield School District,Special Education,61.54,23,7.69,7.692307692,
2010,Brookfield School District,Non-Special Education,91.91,2.57,0.37,5.147058824,
2010,Canton School District,All Students,90.65,2.16,0,7.194244604,
2010,Canton School District,Hispanic,NA,NA,NA,NA,
2010,Canton School District,Non-Hispanic,90.44,2.21,0,7.352941176,
2010,Canton School District,Asian,NA,NA,NA,NA,
2010,Canton School District,Black,NA,NA,NA,NA,
2010,Canton School District,White,90.77,2.31,0,6.923076923,
2010,Canton School District,Male,90.79,3.95,0,5.263157895,
2010,Canton School District,Female,90.48,0,0,9.523809524,
2010,Canton School District,ELL,NA,NA,NA,NA,
2010,Canton School District,Non-ELL,91.97,2.19,0,5.839416058,
2010,Canton School District,Eligible For Lunch,NA,NA,NA,NA,
2010,Canton School District,Not Eligible For Lunch,93.13,1.53,0,5.34351145,
2010,Canton School District,Special Education,75,12.5,0,12.5,
2010,Canton School District,Non-Special Education,92.68,0.81,0,6.504065041,
2010,Cheshire School District,All Students,93.9,3.41,0,2.682926829,
2010,Cheshire School District,Hispanic,76.92,15.3,0,7.692307692,
2010,Cheshire School District,Non-Hispanic,94.46,3.02,0,2.518891688,
2010,Cheshire School District,Indian,NA,NA,NA,NA,
2010,Cheshire School District,Asian,96,4,0,0,
2010,Cheshire School District,Black,100,0,0,0,
2010,Cheshire School District,White,94.49,2.75,0,2.754820937,
2010,Cheshire School District,Male,93.55,3.23,0,3.22,
2010,Cheshire School District,Female,94.3,3.63,0,2.07253886,
2010,Cheshire School District,ELL,NA,NA,NA,NA,
2010,Cheshire School District,Non-ELL,94.13,3.18,0,2.689486553,
2010,Cheshire School District,Eligible For Lunch,70,20,0,10,
2010,Cheshire School District,Not Eligible For Lunch,94.5,3,0,2.5,
2010,Cheshire School District,Special Education,69.05,26.1,0,4.761904762,
2010,Cheshire School District,Non-Special Education,96.74,0.82,0,2.44,
2010,Clinton School District,All Students,83.64,7.27,0,9.090909091,
2010,Clinton School District,Hispanic,88.89,0,0,11.11111111,
2010,Clinton School District,Non-Hispanic,83.33,7.69,0,8.974358974,
2010,Clinton School District,Asian,85.71,14.2,0,0,
2010,Clinton School District,Black,NA,NA,NA,NA,
2010,Clinton School District,White,83.11,7.43,0,9.459459459,
2010,Clinton School District,Male,81.18,10.5,0,8.235294118,
2010,Clinton School District,Female,86.25,3.75,0,10,
2010,Clinton School District,ELL,NA,NA,NA,NA,
2010,Clinton School District,Non-ELL,83.95,6.79,0,9.259259259,
2010,Clinton School District,Eligible For Lunch,71.43,14.2,0,14.28571429,
2010,Clinton School District,Not Eligible For Lunch,84.77,6.62,0,8.609271523,
2010,Clinton School District,Special Education,60.71,25,0,14.28571429,
2010,Clinton School District,Non-Special Education,88.32,3.65,0,8.02919708,
2010,Colchester School District,All Students,89.8,7.45,0,2.745098039,
2010,Colchester School District,Hispanic,84.62,15.3,0,0,
2010,Colchester School District,Non-Hispanic,90.08,7.02,0,2.892561983,
2010,Colchester School District,Indian,NA,NA,NA,NA,
2010,Colchester School District,Asian,NA,NA,NA,NA,
2010,Colchester School District,Black,88.89,11.1,0,0,
2010,Colchester School District,White,90.79,6.58,0,2.631578947,
2010,Colchester School District,Male,89.86,7.43,0,2.702702703,
2010,Colchester School District,Female,89.72,7.48,0,2.803738318,
2010,Colchester School District,ELL,NA,NA,NA,NA,
2010,Colchester School District,Non-ELL,90.12,7.11,0,2.766798419,
2010,Colchester School District,Eligible For Lunch,80,20,0,0,
2010,Colchester School District,Not Eligible For Lunch,90.64,6.38,0,2.978723404,
2010,Colchester School District,Special Education,69.57,26,0,4.347826087,
2010,Colchester School District,Non-Special Education,91.81,5.6,0,2.586206897,
2010,Coventry School District,All Students,86.05,9.3,0,4.651162791,
2010,Coventry School District,Hispanic,NA,NA,NA,NA,
2010,Coventry School District,Non-Hispanic,86.61,8.66,0,4.724409449,
2010,Coventry School District,Asian,NA,NA,NA,NA,
2010,Coventry School District,White,86.51,8.73,0,4.761904762,
2010,Coventry School District,Male,81.33,13.3,0,5.333333333,
2010,Coventry School District,Female,92.59,3.7,0,3.703703704,
2010,Coventry School District,Non-ELL,86.05,9.3,0,4.651162791,
2010,Coventry School District,Eligible For Lunch,85.71,7.14,0,7.142857143,
2010,Coventry School District,Not Eligible For Lunch,86.09,9.57,0,4.34,
2010,Coventry School District,Special Education,75,20,0,5,
2010,Coventry School District,Non-Special Education,88.07,7.34,0,4.587155963,
2010,Cromwell School District,All Students,95.14,0.69,0,4.166666667,
2010,Cromwell School District,Hispanic,100,0,0,0,
2010,Cromwell School District,Non-Hispanic,94.85,0.74,0,4.411764706,
2010,Cromwell School District,Asian,NA,NA,NA,NA,
2010,Cromwell School District,Black,85.71,0,0,14.28571429,
2010,Cromwell School District,White,95.31,0.78,0,3.90625,
2010,Cromwell School District,Male,93.06,0,0,6.944444444,
2010,Cromwell School District,Female,97.22,1.39,0,1.388888889,
2010,Cromwell School District,ELL,NA,NA,NA,NA,
2010,Cromwell School District,Non-ELL,95.71,0.71,0,3.571428571,
2010,Cromwell School District,Eligible For Lunch,94.44,0,0,5.555555556,
2010,Cromwell School District,Not Eligible For Lunch,95.24,0.79,0,3.968253968,
2010,Cromwell School District,Special Education,92.86,0,0,7.142857143,
2010,Cromwell School District,Non-Special Education,95.38,0.77,0,3.846153846,
2010,Danbury School District,All Students,74.67,9.55,0,15.78249337,
2010,Danbury School District,Hispanic,60.89,16,0,23.11111111,
2010,Danbury School District,Non-Hispanic,80.53,6.81,0,12.66,
2010,Danbury School District,Asian,78.13,7.81,0,14.0625,
2010,Danbury School District,Black,77.65,11.7,0,10.58823529,
2010,Danbury School District,White,81.58,5.53,0,12.89473684,
2010,Danbury School District,Male,69.45,13,0,17.49347258,
2010,Danbury School District,Female,80.05,5.93,0,14.01617251,
2010,Danbury School District,ELL,48.18,21.8,0,30,
2010,Danbury School District,Non-ELL,79.19,7.45,0,13.35403727,
2010,Danbury School District,Eligible For Lunch,65.76,17.3,0,16.84782609,
2010,Danbury School District,Not Eligible For Lunch,77.54,7.02,0,15.43859649,
2010,Danbury School District,Special Education,59.7,28.3,0,11.94029851,
2010,Danbury School District,Non-Special Education,76.13,7.71,0,16.15720524,
2010,Darien School District,All Students,94.01,1.06,0,4.929577465,
2010,Darien School District,Hispanic,NA,NA,NA,NA,
2010,Darien School District,Non-Hispanic,93.95,1.07,0,4.982206406,
2010,Darien School District,Indian,NA,NA,NA,NA,
2010,Darien School District,Asian,100,0,0,0,
2010,Darien School District,Black,100,0,0,0,
2010,Darien School District,White,93.98,1.13,0,4.887218045,
2010,Darien School District,Male,93.15,1.37,0,5.479452055,
2010,Darien School District,Female,94.93,0.72,0,4.347826087,
2010,Darien School District,ELL,NA,NA,NA,NA,
2010,Darien School District,Non-ELL,93.99,1.06,0,4.946996466,
2010,Darien School District,Eligible For Lunch,85.71,0,0,14.28571429,
2010,Darien School District,Not Eligible For Lunch,94.22,1.08,0,4.693140794,
2010,Darien School District,Special Education,88.24,2.94,0,8.823529412,
2010,Darien School District,Non-Special Education,94.8,0.8,0,4.4,
2010,Derby School District,All Students,73.21,11.6,0,15.17857143,
2010,Derby School District,Hispanic,66.67,8.33,0,25,
2010,Derby School District,Non-Hispanic,75,12.5,0,12.5,
2010,Derby School District,Asian,100,0,0,0,
2010,Derby School District,Black,68.42,15.7,0,15.78947368,
2010,Derby School District,White,75,12.5,0,12.5,
2010,Derby School District,Male,69.09,12.7,0,18.18181818,
2010,Derby School District,Female,77.19,10.5,0,12.28070175,
2010,Derby School District,ELL,100,0,0,0,
2010,Derby School District,Non-ELL,71.96,12.1,0,15.88785047,
2010,Derby School District,Eligible For Lunch,62.9,19.3,0,17.74193548,
2010,Derby School District,Not Eligible For Lunch,86,2,0,12,
2010,Derby School District,Special Education,87.5,0,0,12.5,
2010,Derby School District,Non-Special Education,72.12,12.5,0,15.38461538,
2010,East Granby School District,All Students,90.2,0,0,9.803921569,
2010,East Granby School District,Non-Hispanic,90.2,0,0,9.803921569,
2010,East Granby School District,Indian,NA,NA,NA,NA,
2010,East Granby School District,Asian,NA,NA,NA,NA,
2010,East Granby School District,Black,NA,NA,NA,NA,
2010,East Granby School District,White,88.64,0,0,11.36363636,
2010,East Granby School District,Male,88,0,0,12,
2010,East Granby School District,Female,92.31,0,0,7.692307692,
2010,East Granby School District,Non-ELL,90.2,0,0,9.803921569,
2010,East Granby School District,Eligible For Lunch,NA,NA,NA,NA,
2010,East Granby School District,Not Eligible For Lunch,91.84,0,0,8.163265306,
2010,East Granby School District,Special Education,85.71,0,0,14.28571429,
2010,East Granby School District,Non-Special Education,90.91,0,0,9.090909091,
2010,East Haddam School District,All Students,89.83,2.54,0,7.627118644,
2010,East Haddam School District,Hispanic,NA,NA,NA,NA,
2010,East Haddam School District,Non-Hispanic,89.47,2.63,0,7.894736842,
2010,East Haddam School District,Asian,NA,NA,NA,NA,
2010,East Haddam School District,Black,NA,NA,NA,NA,
2010,East Haddam School District,White,90.09,1.8,0,8.108108108,
2010,East Haddam School District,Male,84,4,0,12,
2010,East Haddam School District,Female,94.12,1.47,0,4.411764706,
2010,East Haddam School District,Non-ELL,89.83,2.54,0,7.627118644,
2010,East Haddam School District,Eligible For Lunch,NA,NA,NA,NA,
2010,East Haddam School District,Not Eligible For Lunch,91.89,0.9,0,7.207207207,
2010,East Haddam School District,Special Education,NA,NA,NA,NA,
2010,East Haddam School District,Non-Special Education,91.89,0.9,0,7.207207207,
2010,East Hampton School District,All Students,91.95,2.68,0,5.369127517,
2010,East Hampton School District,Hispanic,NA,NA,NA,NA,
2010,East Hampton School District,Non-Hispanic,91.84,2.72,0,5.442176871,
2010,East Hampton School District,Indian,NA,NA,NA,NA,
2010,East Hampton School District,Asian,NA,NA,NA,NA,
2010,East Hampton School District,Black,NA,NA,NA,NA,
2010,East Hampton School District,White,92.86,1.43,0,5.714285714,
2010,East Hampton School District,Male,88.24,5.88,0,5.882352941,
2010,East Hampton School District,Female,95.06,0,0,4.938271605,
2010,East Hampton School District,Non-ELL,91.95,2.68,0,5.369127517,
2010,East Hampton School District,Eligible For Lunch,86.67,6.67,0,6.66,
2010,East Hampton School District,Not Eligible For Lunch,92.54,2.24,0,5.223880597,
2010,East Hampton School District,Special Education,77.78,22.2,0,0,
2010,East Hampton School District,Non-Special Education,93.89,0,0,6.106870229,
2010,East Hartford School District,All Students,73.95,7.75,0.16,18.13953488,
2010,East Hartford School District,Hispanic,69.77,7.91,0.47,21.85,
2010,East Hartford School District,Non-Hispanic,76.05,7.67,0,16.27906977,
2010,East Hartford School District,Indian,NA,NA,NA,NA,
2010,East Hartford School District,Asian,89.19,8.11,0,2.702702703,
2010,East Hartford School District,Black,73.82,7.73,0,18.45493562,
2010,East Hartford School District,White,76.58,6.96,0,16.4556962,
2010,East Hartford School District,Male,69.81,11,0.31,18.86792453,
2010,East Hartford School District,Female,77.98,4.59,0,17.43119266,
2010,East Hartford School District,ELL,61.54,11.5,0,26.92307692,
2010,East Hartford School District,Non-ELL,74.47,7.59,0.16,17.77059774,
2010,East Hartford School District,Eligible For Lunch,69.02,9.51,0.31,21.16,
2010,East Hartford School District,Not Eligible For Lunch,79,5.96,0,15.04,
2010,East Hartford School District,Special Education,49.5,30.6,0.99,18.81188119,
2010,East Hartford School District,Non-Special Education,78.49,3.49,0,18.01470588,
2010,East Haven School District,All Students,87.26,6.56,0,6.177606178,
2010,East Haven School District,Hispanic,77.27,4.55,0,18.18181818,
2010,East Haven School District,Non-Hispanic,88.19,6.75,0,5.063291139,
2010,East Haven School District,Asian,90,0,0,10,
2010,East Haven School District,Black,75,25,0,0,
2010,East Haven School District,White,88.58,6.39,0,5.02283105,
2010,East Haven School District,Male,82.81,9.38,0,7.8125,
2010,East Haven School District,Female,91.6,3.82,0,4.580152672,
2010,East Haven School District,ELL,77.78,11.1,0,11.11111111,
2010,East Haven School District,Non-ELL,87.6,6.4,0,6,
2010,East Haven School District,Eligible For Lunch,83.02,5.66,0,11.32075472,
2010,East Haven School District,Not Eligible For Lunch,88.35,6.8,0,4.854368932,
2010,East Haven School District,Special Education,63.33,26.6,0,10,
2010,East Haven School District,Non-Special Education,90.39,3.93,0,5.676855895,
2010,East Lyme School District,All Students,93.87,3.23,0,2.903225806,
2010,East Lyme School District,Hispanic,72.73,9.09,0,18.18181818,
2010,East Lyme School District,Non-Hispanic,94.65,3.01,0,2.341137124,
2010,East Lyme School District,Indian,NA,NA,NA,NA,
2010,East Lyme School District,Asian,95.24,0,0,4.761904762,
2010,East Lyme School District,Black,NA,NA,NA,NA,
2010,East Lyme School District,White,94.87,2.93,0,2.197802198,
2010,East Lyme School District,Male,93.83,3.7,0,2.469135802,
2010,East Lyme School District,Female,93.92,2.7,0,3.378378378,
2010,East Lyme School District,Non-ELL,93.87,3.23,0,2.903225806,
2010,East Lyme School District,Eligible For Lunch,88.89,11.1,0,0,
2010,East Lyme School District,Not Eligible For Lunch,94.02,2.99,0,2.990033223,
2010,East Lyme School District,Special Education,72.97,24.3,0,2.702702703,
2010,East Lyme School District,Non-Special Education,96.7,0.37,0,2.93040293,
2010,East Windsor School District,All Students,86.49,6.31,0,7.2,
2010,East Windsor School District,Hispanic,70,10,0,20,
2010,East Windsor School District,Non-Hispanic,88.12,5.94,0,5.940594059,
2010,East Windsor School District,Indian,NA,NA,NA,NA,
2010,East Windsor School District,Asian,NA,NA,NA,NA,
2010,East Windsor School District,Black,78.57,7.14,0,14.28571429,
2010,East Windsor School District,White,89.16,6.02,0,4.819277108,
2010,East Windsor School District,Male,86.21,6.9,0,6.89,
2010,East Windsor School District,Female,86.79,5.66,0,7.547169811,
2010,East Windsor School District,ELL,100,0,0,0,
2010,East Windsor School District,Non-ELL,85.85,6.6,0,7.547169811,
2010,East Windsor School District,Eligible For Lunch,76.92,11.5,0,11.53846154,
2010,East Windsor School District,Not Eligible For Lunch,89.41,4.71,0,5.882352941,
2010,East Windsor School District,Special Education,60,25,0,15,
2010,East Windsor School District,Non-Special Education,92.31,2.2,0,5.494505495,
2010,Ellington School District,All Students,92.19,3.13,1.04,3.64,
2010,Ellington School District,Hispanic,71.43,14.2,14.2,0,
2010,Ellington School District,Non-Hispanic,92.97,2.7,0.54,3.783783784,
2010,Ellington School District,Indian,NA,NA,NA,NA,
2010,Ellington School District,Asian,87.5,12.5,0,0,
2010,Ellington School District,Black,NA,NA,NA,NA,
2010,Ellington School District,White,93.02,2.33,0.58,4.069767442,
2010,Ellington School District,Male,91.67,4.17,1.04,3.12,
2010,Ellington School District,Female,92.71,2.08,1.04,4.166666667,
2010,Ellington School District,ELL,NA,NA,NA,NA,
2010,Ellington School District,Non-ELL,92.63,3.16,1.05,3.157894737,
2010,Ellington School District,Eligible For Lunch,NA,NA,NA,NA,
2010,Ellington School District,Not Eligible For Lunch,93.05,2.67,1.07,3.20855615,
2010,Ellington School District,Special Education,66.67,33.3,0,0,
2010,Ellington School District,Non-Special Education,94.83,0,1.15,4.022988506,
2010,Enfield School District,All Students,85.97,4.01,0,10.02004008,
2010,Enfield School District,Hispanic,88.46,7.69,0,3.846153846,
2010,Enfield School District,Non-Hispanic,85.84,3.81,0,10.35,
2010,Enfield School District,Indian,NA,NA,NA,NA,
2010,Enfield School District,Asian,76.92,7.69,0,15.38461538,
2010,Enfield School District,Black,73.53,5.88,0,20.58823529,
2010,Enfield School District,White,87.06,3.53,0,9.411764706,
2010,Enfield School District,Male,81.36,5.51,0,13.13,
2010,Enfield School District,Female,90.11,2.66,0,7.224334601,
2010,Enfield School District,ELL,83.33,8.33,0,8.333333333,
2010,Enfield School District,Non-ELL,86.04,3.9,0,10.06160164,
2010,Enfield School District,Eligible For Lunch,74.11,7.14,0,18.75,
2010,Enfield School District,Not Eligible For Lunch,89.41,3.1,0,7.493540052,
2010,Enfield School District,Special Education,67.31,13.4,0,19.23076923,
2010,Enfield School District,Non-Special Education,88.14,2.91,0,8.948545861,
2010,Fairfield School District,All Students,91.85,2.95,0,5.196629213,
2010,Fairfield School District,Hispanic,80.95,0,0,19.04761905,
2010,Fairfield School District,Non-Hispanic,92.54,3.13,0,4.328358209,
2010,Fairfield School District,Asian,84.62,7.69,0,7.692307692,
2010,Fairfield School District,Black,82.35,5.88,0,11.76470588,
2010,Fairfield School District,White,93.14,2.87,0,3.987240829,
2010,Fairfield School District,Male,90.06,4.83,0,5.113636364,
2010,Fairfield School District,Female,93.61,1.11,0,5.277777778,
2010,Fairfield School District,ELL,NA,NA,NA,NA,
2010,Fairfield School District,Non-ELL,92.07,2.83,0,5.099150142,
2010,Fairfield School District,Eligible For Lunch,75,14.5,0,10.41666667,
2010,Fairfield School District,Not Eligible For Lunch,93.07,2.11,0,4.819277108,
2010,Fairfield School District,Special Education,81.16,11.5,0,7.246376812,
2010,Fairfield School District,Non-Special Education,93,2.02,0,4.976671851,
2010,Farmington School District,All Students,91.71,1.93,0.28,6.077348066,
2010,Farmington School District,Hispanic,64.29,7.14,0,28.57142857,
2010,Farmington School District,Non-Hispanic,92.82,1.72,0.29,5.172413793,
2010,Farmington School District,Asian,96.77,0,0,3.225806452,
2010,Farmington School District,Black,88.89,5.56,0,5.55,
2010,Farmington School District,White,92.64,1.67,0.33,5.351170569,
2010,Farmington School District,Male,90.76,2.72,0.54,5.97826087,
2010,Farmington School District,Female,92.7,1.12,0,6.179775281,
2010,Farmington School District,ELL,NA,NA,NA,NA,
2010,Farmington School District,Non-ELL,91.69,1.94,0.28,6.094182825,
2010,Farmington School District,Eligible For Lunch,84.21,5.26,0,10.52631579,
2010,Farmington School District,Not Eligible For Lunch,92.13,1.75,0.29,5.83090379,
2010,Farmington School District,Special Education,76.47,5.88,2.94,14.70588235,
2010,Farmington School District,Non-Special Education,93.29,1.52,0,5.182926829,
2010,Glastonbury School District,All Students,94.82,2.07,0,3.105590062,
2010,Glastonbury School District,Hispanic,92.59,0,0,7.407407407,
2010,Glastonbury School District,Non-Hispanic,94.96,2.19,0,2.850877193,
2010,Glastonbury School District,Indian,NA,NA,NA,NA,
2010,Glastonbury School District,Asian,96.15,0,0,3.846153846,
2010,Glastonbury School District,Black,78.95,5.26,0,15.78947368,
2010,Glastonbury School District,White,95.84,2.2,0,1.95599022,
2010,Glastonbury School District,Male,93.77,2.33,0,3.891050584,
2010,Glastonbury School District,Female,96.02,1.77,0,2.212389381,
2010,Glastonbury School District,ELL,NA,NA,NA,NA,
2010,Glastonbury School District,Non-ELL,95.18,2.1,0,2.72,
2010,Glastonbury School District,Eligible For Lunch,86.36,0,0,13.63636364,
2010,Glastonbury School District,Not Eligible For Lunch,95.23,2.17,0,2.603036876,
2010,Glastonbury School District,Special Education,83.61,14.7,0,1.639344262,
